stock_id,stock_name,source_industry,confidence,reason
2463,研揚,電子工業,LOW,industry_name='電子工業' 無系統性映射也無個股 override，需人工複核
2469,力信,電子工業,LOW,力信：業務內容需人工查證
6862,三集瑞-KY,電子工業,LOW,三集瑞-KY：業務內容需人工查證
2336,致伸,電子工業,LOW,industry_name='電子工業' 無系統性映射也無個股 override，需人工複核
3598,奕力,電子工業,LOW,industry_name='電子工業' 無系統性映射也無個股 override，需人工複核
2315,神達,電子工業,LOW,industry_name='電子工業' 無系統性映射也無個股 override，需人工複核
6781,AES-KY,電子零組件業,LOW,AES-KY：業務內容需人工查證
6933,AMAX-KY,電子工業,LOW,industry_name='電子工業' 無系統性映射也無個股 override，需人工複核
7818,溢泰實業,其他,LOW,溢泰實業：業務內容需人工查證
6863,永道-KY,通信網路業,LOW,永道-KY：業務內容需人工查證
7855,和運租車,其他,LOW,industry_name='其他' 無系統性映射也無個股 override，需人工複核
8078,華寶,電子工業,LOW,industry_name='電子工業' 無系統性映射也無個股 override，需人工複核
6921,嘉雨思-創,創新板股票,LOW,嘉雨思-創：業務內容需人工查證
6947,台鎔科技,其他,LOW,industry_name='其他' 無系統性映射也無個股 override，需人工複核
6958A,日盛台駿甲特,其他,LOW,日盛台駿甲特：同日盛台駿
2358,廷鑫,其他,LOW,廷鑫：業務內容需人工查證
2381,華宇,電子工業,LOW,industry_name='電子工業' 無系統性映射也無個股 override，需人工複核
3142,遠茂,電子工業,LOW,遠茂：業務內容需人工查證
3557,嘉威,其他,LOW,嘉威：業務內容需人工查證
3063,飛信,半導體業,LOW,飛信：業務內容需人工查證
3271,其樂達,電子工業,LOW,其樂達：業務內容需人工查證
4144,康聯-KY,生技醫療業,LOW,康聯-KY：業務內容需人工查證
2403,友尚,電子工業,LOW,industry_name='電子工業' 無系統性映射也無個股 override，需人工複核
1516,川飛,其他,LOW,川飛：業務內容需人工查證
2496,卓越,其他,LOW,卓越：業務內容需人工查證
6573,虹揚-KY,半導體業,LOW,虹揚-KY：業務內容需人工查證
6431,光麗-KY,電子工業,LOW,光麗-KY：業務內容需人工查證
6671,三能-KY,其他,LOW,三能-KY：業務內容需人工查證
6768,志強-KY,其他,LOW,志強-KY：業務內容需人工查證
6807,峰源-KY,其他,LOW,峰源-KY：業務內容需人工查證
6924,榮惠-KY創,創新版股票,LOW,榮惠-KY：業務內容需人工查證
6957,裕慶-KY,其他,LOW,裕慶-KY：業務內容需人工查證
6958,日盛台駿,其他,LOW,日盛台駿：業務內容需人工查證
6988,威力暘-創,創新版股票,LOW,威力暘：業務內容需人工查證
7740,熙特爾-創,智慧電網,LOW,熙特爾-創：業務內容需人工查證
8442,威宏-KY,其他,LOW,威宏-KY：業務內容需人工查證
8466,美吉吉-KY,其他,LOW,美吉吉-KY：業務內容需人工查證
8467,波力-KY,其他,LOW,波力-KY：業務內容需人工查證
8480,泰昇-KY,其他,LOW,泰昇-KY：業務內容需人工查證
8482,商億-KY,其他,LOW,商億-KY：業務內容需人工查證
8488,吉源-KY,其他,LOW,吉源-KY：業務內容需人工查證
8499,鼎炫-KY,其他,LOW,鼎炫-KY：業務內容需人工查證
7823,奧義賽博-KY創,創新板股票,LOW,industry_name='創新板股票' 無系統性映射也無個股 override，需人工複核
910069,新曄,存託憑證,LOW,新曄：TDR，業務內容需人工查證
9101,福雷電,存託憑證,LOW,福雷電：TDR，業務內容需人工查證
9102,東亞科,存託憑證,LOW,東亞科：TDR，業務內容需人工查證
9104,萬宇科,存託憑證,LOW,萬宇科：TDR，業務內容需人工查證
910482,聖馬丁-DR,存託憑證,LOW,聖馬丁-DR：TDR，業務內容需人工查證
910579,歐聖,存託憑證,LOW,歐聖：TDR，業務內容需人工查證
9106,新焦點-DR,存託憑證,LOW,新焦點-DR：TDR，業務內容需人工查證
910708,恒大健-DR,存託憑證,LOW,恒大健-DR：TDR，業務內容需人工查證
910861,神州-DR,存託憑證,LOW,神州-DR：TDR，業務內容需人工查證
910948,融達,存託憑證,LOW,融達：TDR，業務內容需人工查證
9110,越南控-DR,存託憑證,LOW,越南控-DR：TDR，業務內容需人工查證
911201,僑威控,存託憑證,LOW,僑威控：TDR，業務內容需人工查證
911602,華豐泰,存託憑證,LOW,華豐泰：TDR，業務內容需人工查證
911606,超級,存託憑證,LOW,超級：TDR，業務內容需人工查證
911608,明輝-DR,存託憑證,LOW,明輝-DR：TDR，業務內容需人工查證
911609,揚子江,存託憑證,LOW,揚子江：TDR，業務內容需人工查證
911610,聯環,存託憑證,LOW,聯環：TDR，業務內容需人工查證
911611,中泰山-DR,存託憑證,LOW,中泰山-DR：TDR，業務內容需人工查證
911612,滬安,存託憑證,LOW,滬安：TDR，業務內容需人工查證
911616,杜康-DR,存託憑證,LOW,杜康-DR：TDR，業務內容需人工查證
911619,耀傑-DR,存託憑證,LOW,耀傑-DR：TDR，業務內容需人工查證
911622,泰聚亨-DR,存託憑證,LOW,泰聚亨-DR：TDR，業務內容需人工查證
911626,MSH-DR,存託憑證,LOW,MSH-DR：TDR，業務內容需人工查證
911868,同方友友-DR,存託憑證,LOW,同方友友-DR：TDR，業務內容需人工查證
912000,晨訊科-DR,存託憑證,LOW,晨訊科-DR：TDR，業務內容需人工查證
9188,精熙-DR,存託憑證,LOW,精熙-DR：TDR，業務內容需人工查證
9902,台火,其他,LOW,台火：業務內容需人工查證
